Track ID,Track name,Artist name,Popularity,Release year,Category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,duration
6DshyLFOY859M1ERk0h54h,New Release,Killing Time,22,1989,New Releases,0.322,0.714,4,-13.477,0,0.0545,0.00157,0.0,0.0984,0.378,125.286,audio_features,6DshyLFOY859M1ERk0h54h,spotify:track:6DshyLFOY859M1ERk0h54h,https://api.spotify.com/v1/tracks/6DshyLFOY859M1ERk0h54h,https://api.spotify.com/v1/audio-analysis/6DshyLFOY859M1ERk0h54h,101960,4,1.7
4DZghpw50ZnO3ckfDuNkft,New Religion,The Heydaze,53,2017,New Releases,0.537,0.863,7,-4.46,1,0.0446,0.00201,0.0,0.201,0.484,97.02,audio_features,4DZghpw50ZnO3ckfDuNkft,spotify:track:4DZghpw50ZnO3ckfDuNkft,https://api.spotify.com/v1/tracks/4DZghpw50ZnO3ckfDuNkft,https://api.spotify.com/v1/audio-analysis/4DZghpw50ZnO3ckfDuNkft,203587,4,3.39
0KbTsCQkdNGnkrea1vA4eG,Morning Has Broken (New Release) (with Diana Krall),Art Garfunkel,43,2002,New Releases,0.253,0.206,2,-14.276,1,0.0337,0.608,0.00382,0.119,0.228,105.48,audio_features,0KbTsCQkdNGnkrea1vA4eG,spotify:track:0KbTsCQkdNGnkrea1vA4eG,https://api.spotify.com/v1/tracks/0KbTsCQkdNGnkrea1vA4eG,https://api.spotify.com/v1/audio-analysis/0KbTsCQkdNGnkrea1vA4eG,175227,3,2.92
0lmRKkc33g1N9fWW9nZPVc,"New Recording 12, Jan 3, 2020",Post Malone,46,2022,New Releases,0.477,0.162,9,-15.34,1,0.0545,0.927,0.000299,0.179,0.211,106.144,audio_features,0lmRKkc33g1N9fWW9nZPVc,spotify:track:0lmRKkc33g1N9fWW9nZPVc,https://api.spotify.com/v1/tracks/0lmRKkc33g1N9fWW9nZPVc,https://api.spotify.com/v1/audio-analysis/0lmRKkc33g1N9fWW9nZPVc,92718,3,1.55
3eluHrktBbrs9qCnfRcJkm,Relieve Him of His Wand / Newt Releases the Thunderbird / Jacob's Farewell,James Newton Howard,31,2016,New Releases,0.117,0.0799,5,-18.385,1,0.0378,0.914,0.902,0.0988,0.0341,85.353,audio_features,3eluHrktBbrs9qCnfRcJkm,spotify:track:3eluHrktBbrs9qCnfRcJkm,https://api.spotify.com/v1/tracks/3eluHrktBbrs9qCnfRcJkm,https://api.spotify.com/v1/audio-analysis/3eluHrktBbrs9qCnfRcJkm,753202,4,12.55
5Vwaft3Bs1oqSPZrviuXnD,New Religion (feat. Teddy Swims),All Time Low,55,2023,New Releases,0.548,0.88,8,-3.15,0,0.0885,0.016,0.0,0.103,0.766,108.043,audio_features,5Vwaft3Bs1oqSPZrviuXnD,spotify:track:5Vwaft3Bs1oqSPZrviuXnD,https://api.spotify.com/v1/tracks/5Vwaft3Bs1oqSPZrviuXnD,https://api.spotify.com/v1/audio-analysis/5Vwaft3Bs1oqSPZrviuXnD,184055,4,3.07
07G8ZdNubQNcLqINTwcPYE,Live Forever (ANR134) **Label Spotlight (Release Records) - New Release**,Third Party,26,2016,New Releases,0.544,0.842,3,-5.797,1,0.0398,0.0392,0.00011,0.131,0.285,128.023,audio_features,07G8ZdNubQNcLqINTwcPYE,spotify:track:07G8ZdNubQNcLqINTwcPYE,https://api.spotify.com/v1/tracks/07G8ZdNubQNcLqINTwcPYE,https://api.spotify.com/v1/audio-analysis/07G8ZdNubQNcLqINTwcPYE,113207,4,1.89
7GdWKKy57Uswvi3rm4mYz4,New Religion,Fae,30,2019,New Releases,0.699,0.544,8,-8.592,1,0.0356,0.0165,0.0002,0.164,0.216,115.053,audio_features,7GdWKKy57Uswvi3rm4mYz4,spotify:track:7GdWKKy57Uswvi3rm4mYz4,https://api.spotify.com/v1/tracks/7GdWKKy57Uswvi3rm4mYz4,https://api.spotify.com/v1/audio-analysis/7GdWKKy57Uswvi3rm4mYz4,202435,4,3.37
5aga5dPoeV1lvNRi3tjUgj,Redemption Song (New Release),The Chieftains,18,2002,New Releases,0.583,0.34,8,-10.306,1,0.0377,0.102,0.0,0.119,0.535,106.51,audio_features,5aga5dPoeV1lvNRi3tjUgj,spotify:track:5aga5dPoeV1lvNRi3tjUgj,https://api.spotify.com/v1/tracks/5aga5dPoeV1lvNRi3tjUgj,https://api.spotify.com/v1/audio-analysis/5aga5dPoeV1lvNRi3tjUgj,262973,4,4.38
2gEODKUZaztA5pELA3d07E,NEW RELIGION,Joseph Solomon,42,2023,New Releases,0.459,0.396,4,-9.488,1,0.18,0.665,5.64e-05,0.119,0.473,169.399,audio_features,2gEODKUZaztA5pELA3d07E,spotify:track:2gEODKUZaztA5pELA3d07E,https://api.spotify.com/v1/tracks/2gEODKUZaztA5pELA3d07E,https://api.spotify.com/v1/audio-analysis/2gEODKUZaztA5pELA3d07E,235915,4,3.93
